Timestamp,Puissance Active (W)
"25/08/2025 11:35:17",167.82
"25/08/2025 11:35:19",168.08
"25/08/2025 11:35:20",167.26
"25/08/2025 11:35:21",168.57
"25/08/2025 11:35:23",167.95
"25/08/2025 11:35:24",168.19
"25/08/2025 11:35:25",168.60
"25/08/2025 11:35:27",168.36
"25/08/2025 11:35:28",167.52
"25/08/2025 11:35:29",166.98
"25/08/2025 11:35:31",167.63
"25/08/2025 11:35:32",166.59
"25/08/2025 11:35:34",167.44
"25/08/2025 11:35:35",167.37
"25/08/2025 11:35:36",168.59
"25/08/2025 11:35:37",167.62
"25/08/2025 11:35:39",168.43
"25/08/2025 11:35:40",167.99
"25/08/2025 11:35:42",166.69
"25/08/2025 11:35:43",167.01
"25/08/2025 11:35:44",167.21
"25/08/2025 11:35:45",166.50
"25/08/2025 11:35:47",166.87
"25/08/2025 11:35:48",166.88
"25/08/2025 11:35:49",166.35
"25/08/2025 11:35:50",167.37
"25/08/2025 11:35:52",166.63
"25/08/2025 11:35:53",166.48
"25/08/2025 11:35:54",166.38
"25/08/2025 11:35:56",166.13
"25/08/2025 11:35:57",166.88
"25/08/2025 11:35:58",166.59
"25/08/2025 11:36:00",166.38
"25/08/2025 11:36:01",166.43
"25/08/2025 11:36:02",167.09
"25/08/2025 11:36:04",166.63
"25/08/2025 11:36:05",166.44
"25/08/2025 11:36:06",166.57
"25/08/2025 11:36:08",166.58
"25/08/2025 11:36:09",167.46
"25/08/2025 11:36:10",167.62
"25/08/2025 11:36:12",167.88
"25/08/2025 11:36:13",167.38
"25/08/2025 11:36:14",167.92
"25/08/2025 11:36:15",167.78
"25/08/2025 11:36:17",167.06
"25/08/2025 11:36:18",167.43
"25/08/2025 11:36:19",166.86
"25/08/2025 11:36:20",166.92
"25/08/2025 11:36:22",166.45
"25/08/2025 11:36:23",165.76
"25/08/2025 11:36:24",166.41
"25/08/2025 11:36:26",166.97
"25/08/2025 11:36:27",166.98
"25/08/2025 11:36:28",167.01
"25/08/2025 11:36:30",167.22
"25/08/2025 11:36:31",166.67
"25/08/2025 11:36:32",166.89
"25/08/2025 11:36:34",167.53
"25/08/2025 11:36:35",166.74
"25/08/2025 11:36:36",167.67
"25/08/2025 11:36:38",166.31
"25/08/2025 11:36:39",166.98
"25/08/2025 11:36:40",166.95
"25/08/2025 11:36:41",167.30
"25/08/2025 11:36:43",165.38
"25/08/2025 11:36:44",166.37
"25/08/2025 11:36:46",165.69
"25/08/2025 11:36:47",167.20
"25/08/2025 11:36:48",165.36
"25/08/2025 11:36:50",165.83
"25/08/2025 11:36:51",165.65
"25/08/2025 11:36:53",165.37
"25/08/2025 11:36:54",165.10
"25/08/2025 11:36:56",165.26
"25/08/2025 11:36:57",165.94
"25/08/2025 11:36:58",165.71
"25/08/2025 11:37:00",165.99
"25/08/2025 11:37:01",164.68
"25/08/2025 11:37:03",164.98
"25/08/2025 11:37:04",165.59
"25/08/2025 11:37:06",165.11
"25/08/2025 11:37:07",165.50
"25/08/2025 11:37:09",165.21
"25/08/2025 11:37:10",165.54
"25/08/2025 11:37:12",164.55
"25/08/2025 11:37:14",164.82
"25/08/2025 11:37:16",164.97
"25/08/2025 11:37:17",164.73
"25/08/2025 11:37:19",164.96
"25/08/2025 11:37:21",164.83
"25/08/2025 11:37:22",164.90
"25/08/2025 11:37:24",165.34
"25/08/2025 11:37:26",166.00
"25/08/2025 11:37:27",167.55
"25/08/2025 11:37:29",167.29
"25/08/2025 11:37:31",168.15
"25/08/2025 11:37:33",169.14
"25/08/2025 11:37:35",168.40
"25/08/2025 11:37:37",167.96
"25/08/2025 11:37:40",168.28
"25/08/2025 11:37:42",169.42
"25/08/2025 11:37:44",169.99
"25/08/2025 11:37:46",169.76
"25/08/2025 11:37:49",170.13
"25/08/2025 11:37:51",169.79
"25/08/2025 11:37:53",169.64
"25/08/2025 11:37:55",169.56
"25/08/2025 11:37:58",169.50
"25/08/2025 11:38:00",169.85
"25/08/2025 11:38:02",169.59
"25/08/2025 11:38:04",169.74
"25/08/2025 11:38:07",169.70
"25/08/2025 11:38:09",170.09
"25/08/2025 11:38:11",168.65
"25/08/2025 11:38:13",169.65
"25/08/2025 11:38:16",168.84
"25/08/2025 11:38:18",169.70
"25/08/2025 11:38:20",169.26
"25/08/2025 11:38:22",169.64
"25/08/2025 11:38:24",167.93
"25/08/2025 11:38:27",168.44
"25/08/2025 11:38:29",168.68
"25/08/2025 11:38:31",168.69
"25/08/2025 11:38:33",167.84
"25/08/2025 11:38:36",167.45
"25/08/2025 11:38:38",168.32
"25/08/2025 11:38:40",167.14
"25/08/2025 11:38:42",167.01
"25/08/2025 11:38:44",167.61
"25/08/2025 11:38:46",168.04
"25/08/2025 11:38:48",167.49
"25/08/2025 11:38:51",166.73
"25/08/2025 11:38:52",168.16
"25/08/2025 11:38:54",167.82
"25/08/2025 11:38:57",166.67
"25/08/2025 11:38:59",166.67
"25/08/2025 11:39:01",167.29
"25/08/2025 11:39:03",167.73
"25/08/2025 11:39:05",165.57
"25/08/2025 11:39:07",166.11
"25/08/2025 11:39:09",167.64
"25/08/2025 11:39:11",166.08
"25/08/2025 11:39:14",167.40
"25/08/2025 11:39:16",167.15
"25/08/2025 11:39:18",167.60
"25/08/2025 11:39:20",166.68
"25/08/2025 11:39:22",166.56
"25/08/2025 11:39:24",166.75
"25/08/2025 11:39:26",166.90
"25/08/2025 11:39:29",166.56
"25/08/2025 11:39:31",167.35
"25/08/2025 11:39:33",165.41
"25/08/2025 11:39:35",166.41
"25/08/2025 11:39:37",167.02
"25/08/2025 11:39:39",166.55
"25/08/2025 11:39:42",166.54
"25/08/2025 11:39:44",165.19
"25/08/2025 11:39:46",166.34
"25/08/2025 11:39:49",165.41
"25/08/2025 11:39:51",166.42
"25/08/2025 11:39:53",165.48
"25/08/2025 11:39:55",165.08
"25/08/2025 11:39:58",164.75
"25/08/2025 11:40:00",165.70
"25/08/2025 11:40:02",163.95
"25/08/2025 11:40:05",165.15
"25/08/2025 11:40:07",164.31
"25/08/2025 11:40:09",164.59
"25/08/2025 11:40:11",165.25
"25/08/2025 11:40:14",164.96
"25/08/2025 11:40:16",165.08
"25/08/2025 11:40:18",163.94
"25/08/2025 11:40:20",164.56
"25/08/2025 11:40:22",164.30
"25/08/2025 11:40:25",164.20
"25/08/2025 11:40:27",163.82
"25/08/2025 11:40:29",164.02
"25/08/2025 11:40:31",164.44
"25/08/2025 11:40:34",163.31
"25/08/2025 11:40:36",164.32
"25/08/2025 11:40:38",165.05
"25/08/2025 11:40:40",163.52
"25/08/2025 11:40:42",164.58
"25/08/2025 11:40:44",164.54
"25/08/2025 11:40:46",164.46
"25/08/2025 11:40:48",163.93
"25/08/2025 11:40:51",164.39
"25/08/2025 11:40:53",165.07
"25/08/2025 11:40:55",163.82
"25/08/2025 11:40:57",163.63
"25/08/2025 11:40:58",162.84
"25/08/2025 11:41:00",163.88
"25/08/2025 11:41:01",164.07
"25/08/2025 11:41:03",163.88
"25/08/2025 11:41:04",163.67
"25/08/2025 11:41:05",163.56
"25/08/2025 11:41:07",163.27
"25/08/2025 11:41:08",163.94
"25/08/2025 11:41:09",164.06
"25/08/2025 11:41:11",164.28
"25/08/2025 11:41:12",164.70
"25/08/2025 11:41:13",165.02
"25/08/2025 11:41:15",165.23
"25/08/2025 11:41:16",165.32
"25/08/2025 11:41:17",166.27
"25/08/2025 11:41:19",165.33
"25/08/2025 11:41:20",165.23
"25/08/2025 11:41:22",165.20
"25/08/2025 11:41:23",166.26
"25/08/2025 11:41:25",164.76
"25/08/2025 11:41:26",165.72
"25/08/2025 11:41:28",165.79
"25/08/2025 11:41:29",165.84
"25/08/2025 11:41:30",166.44
"25/08/2025 11:41:32",165.84
"25/08/2025 11:41:33",165.61
"25/08/2025 11:41:34",166.30
"25/08/2025 11:41:36",166.34
"25/08/2025 11:41:37",165.83
"25/08/2025 11:41:38",165.55
"25/08/2025 11:41:40",165.62
"25/08/2025 11:41:41",165.46
"25/08/2025 11:41:43",165.27
"25/08/2025 11:41:44",165.15
"25/08/2025 11:41:46",165.30
"25/08/2025 11:41:47",165.45
"25/08/2025 11:41:49",165.81
"25/08/2025 11:41:51",166.14
"25/08/2025 11:41:52",164.84
"25/08/2025 11:41:53",164.34
"25/08/2025 11:41:55",164.06
"25/08/2025 11:41:56",164.94
"25/08/2025 11:41:58",165.60
"25/08/2025 11:41:59",165.93
"25/08/2025 11:42:00",166.43
"25/08/2025 11:42:02",165.06
"25/08/2025 11:42:03",164.66
"25/08/2025 11:42:04",165.20
"25/08/2025 11:42:06",164.82
