Timestamp,Puissance Active (W)
"25/08/2025 13:47:11",40.33
"25/08/2025 13:47:12",40.27
"25/08/2025 13:47:14",40.34
"25/08/2025 13:47:15",40.32
"25/08/2025 13:47:16",40.42
"25/08/2025 13:47:18",40.45
"25/08/2025 13:47:19",40.12
"25/08/2025 13:47:21",40.34
"25/08/2025 13:47:23",40.32
"25/08/2025 13:47:24",40.26
"25/08/2025 13:47:25",40.20
"25/08/2025 13:47:26",40.22
"25/08/2025 13:47:28",40.71
"25/08/2025 13:47:30",40.27
"25/08/2025 13:47:31",40.31
"25/08/2025 13:47:33",40.12
"25/08/2025 13:47:34",40.50
"25/08/2025 13:47:36",40.14
"25/08/2025 13:47:37",40.38
"25/08/2025 13:47:38",40.55
"25/08/2025 13:47:40",40.15
"25/08/2025 13:47:41",40.40
"25/08/2025 13:47:42",40.36
"25/08/2025 13:47:44",40.30
"25/08/2025 13:47:45",40.63
"25/08/2025 13:47:47",40.24
"25/08/2025 13:47:48",40.37
"25/08/2025 13:47:50",40.52
"25/08/2025 13:47:51",40.20
"25/08/2025 13:47:53",40.11
"25/08/2025 13:47:54",40.30
"25/08/2025 13:47:55",40.47
"25/08/2025 13:47:56",40.28
"25/08/2025 13:47:57",40.40
"25/08/2025 13:47:59",40.67
"25/08/2025 13:48:00",39.86
"25/08/2025 13:48:01",39.97
"25/08/2025 13:48:03",40.21
"25/08/2025 13:48:04",40.41
"25/08/2025 13:48:06",40.40
"25/08/2025 13:48:07",40.45
"25/08/2025 13:48:09",40.22
"25/08/2025 13:48:10",40.09
"25/08/2025 13:48:11",40.03
"25/08/2025 13:48:13",40.60
"25/08/2025 13:48:14",40.10
"25/08/2025 13:48:15",40.36
"25/08/2025 13:48:16",40.32
"25/08/2025 13:48:18",40.48
"25/08/2025 13:48:19",40.29
"25/08/2025 13:48:20",39.98
"25/08/2025 13:48:22",40.85
"25/08/2025 13:48:23",40.33
"25/08/2025 13:48:24",40.00
"25/08/2025 13:48:25",40.10
"25/08/2025 13:48:26",40.22
"25/08/2025 13:48:29",40.19
"25/08/2025 13:48:30",40.48
"25/08/2025 13:48:32",40.34
"25/08/2025 13:48:33",40.40
"25/08/2025 13:48:35",40.45
"25/08/2025 13:48:37",40.18
"25/08/2025 13:48:38",40.57
"25/08/2025 13:48:40",40.23
"25/08/2025 13:48:41",40.47
"25/08/2025 13:48:43",40.24
"25/08/2025 13:48:45",40.17
"25/08/2025 13:48:46",40.18
"25/08/2025 13:48:48",40.25
"25/08/2025 13:48:49",40.42
"25/08/2025 13:48:51",40.58
"25/08/2025 13:48:52",40.39
"25/08/2025 13:48:54",40.46
"25/08/2025 13:48:56",40.32
"25/08/2025 13:48:57",40.16
"25/08/2025 13:48:59",40.28
"25/08/2025 13:49:01",40.21
"25/08/2025 13:49:02",40.26
"25/08/2025 13:49:04",40.21
"25/08/2025 13:49:05",40.28
"25/08/2025 13:49:07",40.34
"25/08/2025 13:49:09",40.30
"25/08/2025 13:49:10",40.32
"25/08/2025 13:49:12",40.19
"25/08/2025 13:49:13",40.15
"25/08/2025 13:49:15",40.05
"25/08/2025 13:49:16",40.24
"25/08/2025 13:49:18",40.30
"25/08/2025 13:49:20",40.44
"25/08/2025 13:49:21",40.30
"25/08/2025 13:49:23",40.24
"25/08/2025 13:49:24",40.08
"25/08/2025 13:49:26",40.35
"25/08/2025 13:49:28",40.25
"25/08/2025 13:49:29",40.44
"25/08/2025 13:49:31",40.54
"25/08/2025 13:49:32",40.44
"25/08/2025 13:49:34",40.55
"25/08/2025 13:49:35",40.31
"25/08/2025 13:49:37",40.46
"25/08/2025 13:49:39",40.41
"25/08/2025 13:49:41",40.32
"25/08/2025 13:49:42",40.45
"25/08/2025 13:49:44",40.26
"25/08/2025 13:49:45",40.39
"25/08/2025 13:49:47",40.19
"25/08/2025 13:49:48",40.16
"25/08/2025 13:49:50",40.42
"25/08/2025 13:49:51",40.15
"25/08/2025 13:49:53",40.52
"25/08/2025 13:49:55",40.36
"25/08/2025 13:49:56",40.33
"25/08/2025 13:49:58",40.14
"25/08/2025 13:49:59",40.35
"25/08/2025 13:50:01",40.29
"25/08/2025 13:50:02",40.54
"25/08/2025 13:50:04",40.46
"25/08/2025 13:50:06",40.36
"25/08/2025 13:50:07",40.49
"25/08/2025 13:50:09",40.31
"25/08/2025 13:50:11",40.64
"25/08/2025 13:50:12",40.43
"25/08/2025 13:50:14",40.20
"25/08/2025 13:50:15",40.35
"25/08/2025 13:50:17",40.39
"25/08/2025 13:50:18",40.45
"25/08/2025 13:50:20",40.58
"25/08/2025 13:50:22",40.33
"25/08/2025 13:50:23",40.25
"25/08/2025 13:50:25",40.35
"25/08/2025 13:50:26",40.32
"25/08/2025 13:50:28",40.43
"25/08/2025 13:50:30",40.36
